gene_id,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells
PA14_08820,2165,0.03692948066405305,0.03626392371814581,97.38033009050868,3052.0,8.023879992734878,141
PA14_08830,886,0.014072406950292823,0.013974309868424682,98.92793185228209,1163.0,7.059617628291383,62
PA14_08840,123,0.0021054160011616087,0.0021032027189347353,99.8511688688834,174.0,5.1647859739235145,23
PA14_08850,502,0.007731958762886598,0.00770222036209233,99.39257538357292,639.0,6.461468176353717,50
PA14_08860,610,0.010998983592275302,0.010938934688942059,99.26189439039736,909.0,6.813444599510896,43
PA14_08870,306,0.004973137795847248,0.004960812592478691,99.62973718600261,411.0,6.021023349349527,30
PA14_08880,910,0.016262523595179323,0.016131705144841416,98.8988916315764,1344.0,7.20414929203594,68
PA14_08890,477,0.00860316538405692,0.008566369049432766,99.42282561347466,711.0,6.568077911411976,42
PA14_08900,413,0.0070906538889695565,0.0070656334074422665,99.50026620202314,586.0,6.375024819828097,48
PA14_08910,1202,0.020727457528677218,0.020515566750006643,98.545568946324,1713.0,7.446585099157725,87
PA14_08920,357,0.00594114515270316,0.005923566141781246,99.56802671700305,491.0,6.198478716492308,43
PA14_08930,186,0.003327525289192198,0.003322001327606377,99.77493828953101,275.0,5.62040086571715,20
PA14_08940,594,0.009958375683655195,0.00990911780952147,99.28125453753448,823.0,6.714170529909472,57
PA14_08950,466,0.008167562073471758,0.008134388049878871,99.43613571463143,675.0,6.516193076042964,37
PA14_08960,604,0.01045447945404385,0.010400209300151808,99.26915444557378,864.0,6.762729506931879,45
PA14_08970,1668,0.027890711969410967,0.027508850067722537,97.98170466095543,2305.0,7.743269700829004,78
PA14_08980,187,0.0027709210590000483,0.002767089134250981,99.77372828033492,229.0,5.438079308923196,22
PA14_08990,165,0.0026136198635109626,0.0026102102986942494,99.80034848264847,216.0,5.37989735354046,22
PA14_09000,887,0.01510091476695223,0.014988030967286917,98.92672184308601,1248.0,7.130098510125578,62
PA14_09010,241,0.003920429795266444,0.0039127649368716,99.70838778374716,324.0,5.783825182329737,22
PA14_09020,931,0.01564541890518368,0.015524291102047965,98.87348143845894,1293.0,7.165493475060845,82
PA14_09030,588,0.0099099753158124,0.009861193529874126,99.28851459271091,819.0,6.709304340258299,37
PA14_09040,618,0.010696481293257828,0.010639678637247716,99.25221431682881,884.0,6.785587645007929,39
PA14_09050,1131,0.018743042447122597,0.018569556049857314,98.63147959924495,1549.0,7.346010209913293,72
PA14_09070,26,0.00043560331058516046,0.0004355084630060108,99.96853976090219,36.0,3.6109179126442243,3
PA14_09080,1033,0.017085329848506848,0.016941017035912633,98.7500605004598,1412.0,7.253470382684528,52
PA14_09090,466,0.008058661245825468,0.008026363636256369,99.43613571463143,666.0,6.502790045915623,15
PA14_09100,511,0.008349063452882242,0.008314402811575411,99.38168530080829,690.0,6.53813982376767,44
PA14_09115,789,0.013201200329122502,0.013114823835880036,99.04530274430086,1091.0,6.9957661563048505,59
PA14_09130,60,0.0009559072648952132,0.0009554506764932871,99.9273994482358,79.0,4.382026634673881,7
PA14_09150,46,0.0007139054256812352,0.0007136507164211659,99.9443395769808,59.0,4.0943445622221,8
PA14_09200,30,0.00041140312666376267,0.0004113185236006294,99.9636997241179,34.0,3.5553480614894135,5
PA14_11270,902,0.014846812835777552,0.014737677789176317,98.90857170514495,1227.0,7.113142108707088,49
PA14_11430,47,0.0007744058854847296,0.0007741061879620291,99.94312956778472,64.0,4.174387269895637,4
PA14_11450,26,0.00044770340254585936,0.00044760321327980194,99.96853976090219,37.0,3.6375861597263857,3
PA14_11510,37,0.0006655050578384396,0.0006652837075484825,99.95522965974541,55.0,4.02535169073515,3
PA14_11550,72,0.0012584095639126857,0.0012576184302413092,99.91287933788297,104.0,4.653960350157523,6
PA14_11900,13,0.0001694012874497846,0.0001693869406719087,99.9842698804511,14.0,2.70805020110221,3
PA14_12100,42,0.000605004598034945,0.0006048216565363696,99.94917961376505,50.0,3.9318256327243257,6
PA14_12230,171,0.0027709210590000483,0.002767089134250981,99.79308842747206,229.0,5.438079308923196,10
PA14_12310,110,0.0019118145297904263,0.001909989338307091,99.86689898843231,158.0,5.0689042022202315,6
PA14_12330,65,0.0010648080925415033,0.001064241586515669,99.92134940225546,88.0,4.48863636973214,5
PA14_12900,35,0.0006292047819563428,0.0006290069156221365,99.95764967813756,52.0,3.970291913552122,3
PA14_13500,39,0.000738105609602633,0.0007378333436229634,99.95280964135328,61.0,4.127134385045092,3
PA14_13750,102,0.0017666134262620395,0.0017650548001530012,99.87657906200087,146.0,4.990432586778736,7
PA14_13770,16,0.00022990174725327913,0.0002298753238963571,99.98063985286288,19.0,2.995732273553991,4
PA14_13780,43,0.0007623057935240308,0.0007620153860394443,99.947969604569,63.0,4.1588830833596715,3
PA14_14040,38,0.0005808044141135473,0.0005806358125096988,99.95401965054934,48.0,3.8918202981106265,4
PA14_14440,40,0.000726005517641934,0.000725742103121997,99.95159963215721,60.0,4.110873864173311,3
PA14_14630,218,0.003654227772131068,0.0036475673028089177,99.73621799525677,302.0,5.713732805509369,15
PA14_14650,149,0.002371618024296985,0.00236881017682191,99.81970862978558,196.0,5.2832037287379885,9
PA14_14680,105,0.0016698126905764484,0.0016684201033899556,99.87294903441266,138.0,4.9344739331306915,4
PA14_14740,14,0.0001936014713711824,0.00019358273302479915,99.98305987125502,16.0,2.833213344056216,3
PA14_14820,87,0.0013189100237161802,0.0013180410258935556,99.89472919994192,109.0,4.700480365792417,10
PA14_14830,96,0.0017545133343013406,0.0017529759737316295,99.88383911717729,145.0,4.983606621708336,5
PA14_14850,21,0.00039930303470306377,0.00039922333446196185,99.97458980688253,33.0,3.5263605246161616,3
PA14_14880,93,0.0016456125066550507,0.0016442599700248442,99.88746914476549,136.0,4.919980925828125,8
PA14_14890,121,0.0020570156333188133,0.0020549028734848512,99.85358888727555,170.0,5.14166355650266,7
PA14_14900,62,0.001113208460384299,0.001112589303304162,99.92497942984366,92.0,4.532599493153256,4
PA14_14910,82,0.0013310101156768792,0.00133012510692955,99.90077924592227,110.0,4.709530201312334,4
PA14_14930,22,0.0003388025748995692,0.00033874519426729474,99.97337979768646,28.0,3.367295829986474,3
PA14_15030,34,0.0005808044141135473,0.0005806358125096988,99.95885968733363,48.0,3.8918202981106265,4
PA14_15340,84,0.0014278108513624704,0.0014267924986769306,99.89835922753014,118.0,4.77912349311153,7
PA14_15350,28,0.0005324040462707517,0.0005322623695204619,99.96611974251005,44.0,3.8066624897703196,9
PA14_15360,68,0.0011616088282270945,0.001160934682703943,99.91771937466724,96.0,4.574710978503383,6
PA14_15580,107,0.0018755142539083297,0.0018737576730354058,99.87052901602053,155.0,5.049856007249537,12
PA14_15590,98,0.0018029137021441362,0.0018012904040535013,99.88141909878514,149.0,5.0106352940962555,10
PA14_15600,30,0.0004961037703886549,0.0004959807515982002,99.9636997241179,41.0,3.7376696182833684,3
PA14_15740,62,0.0009680073568559121,0.0009675391398684125,99.92497942984366,80.0,4.394449154672439,5
PA14_15980,87,0.0015125114950873626,0.0015113688016554986,99.89472919994192,125.0,4.836281906951478,17
PA14_15990,42,0.0006776051497991384,0.0006773756790841288,99.94917961376505,56.0,4.04305126783455,3
PA14_16000,60,0.0010527080005808044,0.001052154292075073,99.9273994482358,87.0,4.477336814478207,7
PA14_16070,29,0.0005203039543100528,0.0005201686431408739,99.96490973331397,43.0,3.784189633918261,4
PA14_16510,22,0.000363002758820967,0.0003629368892595841,99.97337979768646,30.0,3.4339872044851463,3
PA14_16530,78,0.0011979091041091911,0.001197192183478387,99.90561928270655,99.0,4.605170185988092,7
PA14_16700,36,0.0005808044141135473,0.0005806358125096988,99.95643966894148,48.0,3.8918202981106265,3
PA14_17050,33,0.0005808044141135473,0.0005806358125096988,99.9600696965297,48.0,3.8918202981106265,6
PA14_17060,1019,0.016710226997725182,0.016572147260607857,98.76700062920479,1381.0,7.231287004327616,54
PA14_17070,147,0.002347417840375587,0.002344666959254132,99.82212864817772,194.0,5.272999558563747,15
PA14_17080,23,0.0003388025748995692,0.00033874519426729474,99.97216978849039,28.0,3.367295829986474,3
PA14_17100,70,0.0010769081845022023,0.0010763287348553442,99.91529935627511,89.0,4.499809670330265,11
PA14_17140,12,0.00020570156333188133,0.00020568040966614776,99.98547988964717,17.0,2.8903717578961645,3
PA14_17150,94,0.0015851120468515561,0.0015838570827484682,99.88625913556943,131.0,4.882801922586371,8
PA14_17170,23,0.0003509026668602681,0.00035084111491820273,99.97216978849039,29.0,3.4011973816621555,3
PA14_17250,62,0.0010527080005808044,0.001052154292075073,99.92497942984366,87.0,4.477336814478207,8
PA14_17260,49,0.0007986060694061275,0.0007982873532535627,99.94070954939257,66.0,4.204692619390966,9
PA14_17270,32,0.0005445041382314506,0.0005443559496436011,99.96127970572576,45.0,3.828641396489095,4
PA14_17290,60,0.0009438071729345143,0.0009433620669854487,99.9273994482358,78.0,4.3694478524670215,6
PA14_17320,88,0.0014399109433231693,0.00143887526563071,99.89351919074585,119.0,4.787491742782046,7
PA14_17470,12,0.00020570156333188133,0.00020568040966614776,99.98547988964717,17.0,2.8903717578961645,3
PA14_17530,29,0.00044770340254585936,0.00044760321327980194,99.96490973331397,37.0,3.6375861597263857,3
PA14_17570,45,0.0007502057015633318,0.0007499244379276008,99.94554958617685,62.0,4.143134726391533,7
PA14_17580,103,0.0017666134262620395,0.0017650548001530012,99.8753690528048,146.0,4.990432586778736,7
PA14_17930,43,0.0007744058854847296,0.0007741061879620291,99.947969604569,64.0,4.174387269895637,5
PA14_18590,70,0.000859106529209622,0.0008587377084178075,99.91529935627511,71.0,4.276666119016055,3
PA14_18670,100,0.0016577125986157494,0.0016563401096714053,99.87899908039302,137.0,4.927253685157205,7
PA14_18690,55,0.0009317070809738154,0.0009312733113413635,99.93344949421615,77.0,4.356708826689592,5
PA14_19030,147,0.0021417162770437054,0.0021394260721345013,99.82212864817772,177.0,5.181783550292085,4
PA14_19470,81,0.0013431102076375781,0.0013422090419422947,99.90198925511834,111.0,4.718498871295094,9
PA14_20510,30,0.00045980349450655826,0.00045969781727237815,99.9636997241179,38.0,3.6635616461296463,3
PA14_20720,152,0.0021296161850830066,0.0021273517668596947,99.81607860219738,176.0,5.176149732573829,5
PA14_20750,82,0.0013068099317554813,0.001305956798830782,99.90077924592227,108.0,4.6913478822291435,3
