gene_id,gene_name,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells
PA14_00010,PA14_00010,491,0.005776948730993161,0.005760326150478461,99.44491549375388,511.0,6.238324625039508,419
PA14_00020,PA14_00020,1238,0.01536374427675089,0.015246917040576558,98.60041829178678,1359.0,7.215239978730097,1062
PA14_00030,PA14_00030,43,0.0005539539879034537,0.0005538006120325995,99.95138771126561,49.0,3.912023005428146,33
PA14_00050,PA14_00050,7836,0.12009496354078344,0.11341347058832914,91.14125826691539,10623.0,9.270870871716214,6021
PA14_00090,PA14_00090,155,0.0018201345316827765,0.0018184800940545666,99.82476965688768,161.0,5.087596335232384,132
PA14_00170,PA14_00170,15,0.00016957775139901646,0.00016956337471741895,99.9830422248601,15.0,2.772588722239781,10
PA14_00180,PA14_00180,553,0.0063761234526030185,0.006355881973345928,99.37482335650895,564.0,6.336825731146441,493
PA14_00190,PA14_00190,4,4.5220733706404386e-05,4.521971127984905e-05,99.99547792662936,4.0,1.6094379124341003,3
PA14_00210,PA14_00210,18,0.00020349330167881974,0.00020347259972533063,99.97965066983213,18.0,2.9444389791664403,17
PA14_00280,PA14_00280,56,0.0006783110055960658,0.0006780810566646277,99.93669097281104,60.0,4.110873864173311,49
PA14_00290,PA14_00290,14,0.00016957775139901646,0.00016956337471741895,99.98417274320276,15.0,2.772588722239781,13
PA14_00380,PA14_00380,4,4.5220733706404386e-05,4.521971127984905e-05,99.99547792662936,4.0,1.6094379124341003,3
PA14_00450,PA14_00450,4,4.5220733706404386e-05,4.521971127984905e-05,99.99547792662936,4.0,1.6094379124341003,4
PA14_00510,PA14_00510,15,0.00016957775139901646,0.00016956337471741895,99.9830422248601,15.0,2.772588722239781,9
PA14_00530,PA14_00530,21,0.00028262958566502744,0.00028258965344752106,99.97625911480414,25.0,3.258096538021482,18
PA14_00570,PA14_00570,5,5.6525917133005484e-05,5.652431960355255e-05,99.9943474082867,5.0,1.791759469228055,3
PA14_00730,PA14_00730,3,3.391555027980329e-05,3.3914975160531515e-05,99.99660844497203,3.0,1.3862943611198906,3
PA14_00790,PA14_00790,177,0.002136679667627607,0.002134400214023872,99.79989825334916,189.0,5.247024072160486,153
PA14_00800,PA14_00800,29,0.0003730710530778362,0.00037300147937593215,99.96721496806286,33.0,3.5263605246161616,27
PA14_00820,PA14_00820,3,3.391555027980329e-05,3.3914975160531515e-05,99.99660844497203,3.0,1.3862943611198906,3
PA14_00830,PA14_00830,9,0.00010174665083940987,0.00010174147500001126,99.98982533491606,9.0,2.302585092994046,8
PA14_00900,PA14_00900,6,0.00010174665083940987,0.00010174147500001126,99.99321688994404,9.0,2.302585092994046,5
PA14_00980,PA14_00980,71,0.000813973206715279,0.0008136421101816101,99.91973319767114,72.0,4.290459441148391,56
PA14_01010,PA14_01010,96,0.0012435701769261207,0.001242797583983013,99.89147023910463,110.0,4.709530201312334,81
PA14_01020,PA14_01020,125,0.0014922842123113447,0.0014911718627165062,99.85868520716748,132.0,4.890349128221754,98
PA14_01030,PA14_01030,490,0.005550845062461138,0.005535495896372524,99.44604601209655,491.0,6.198478716492308,429
PA14_01100,PA14_01100,4,4.5220733706404386e-05,4.521971127984905e-05,99.99547792662936,4.0,1.6094379124341003,3
PA14_01160,PA14_01160,185,0.002102764117347804,0.002100556403207544,99.79085410660788,186.0,5.231108616854587,140
PA14_01220,PA14_01220,472,0.005516929512181335,0.005501766998011361,99.46639534226442,488.0,6.192362489474872,403
PA14_01240,PA14_01240,364,0.004273359335255214,0.004264254464956566,99.58849132327173,378.0,5.937536205082426,293
PA14_01320,PA14_01320,29,0.0003278503193714318,0.0003277965881990097,99.96721496806286,29.0,3.4011973816621555,26
PA14_01470,PA14_01470,231,0.00267932847210446,0.002675745470172863,99.73885026284552,237.0,5.472270673671475,210
PA14_01540,PA14_01540,103,0.0012322649934995195,0.0012315063781385646,99.88355661070601,109.0,4.700480365792417,91
PA14_01560,PA14_01560,27,0.0003278503193714318,0.0003277965881990097,99.96947600474819,29.0,3.4011973816621555,21
PA14_01580,PA14_01580,119,0.0013566220111921317,0.0013557026309585457,99.86546831722345,120.0,4.795790545596741,103
PA14_01610,PA14_01610,172,0.0020575433836413997,0.0020554295403065774,99.80555084506247,182.0,5.209486152841421,151
PA14_01620,PA14_01620,90,0.0010174665083940986,0.001016949240185232,99.8982533491606,90.0,4.51085950651685,81
PA14_01660,PA14_01660,6,6.783110055960658e-05,6.782880013453133e-05,99.99321688994404,6.0,1.9459101490553132,6
PA14_01710,PA14_01710,218,0.002668023288677859,0.0026644704325423057,99.75354700130009,236.0,5.4680601411351315,190
PA14_01720,PA14_01720,640,0.007698829913515347,0.007669345157882522,99.27646826069753,681.0,6.525029657843462,539
PA14_01730,PA14_01730,1596,0.02105025154033124,0.02083175593447031,98.19569272511447,1862.0,7.529943370601589,1340
PA14_01830,PA14_01830,554,0.006636142671414844,0.006614220409364101,99.37369283816629,587.0,6.376726947898627,480
PA14_01960,PA14_01960,190,0.002238426318467017,0.002235924774594332,99.78520151489458,198.0,5.293304824724492,157
PA14_01970,PA14_01970,3,3.391555027980329e-05,3.3914975160531515e-05,99.99660844497203,3.0,1.3862943611198906,3
PA14_02020,PA14_02020,52,0.0005991747216098581,0.0005989952881074515,99.94121304618167,53.0,3.9889840465642745,40
PA14_02050,PA14_02050,10,0.00011305183426601097,0.00011304544438898252,99.9886948165734,10.0,2.3978952727983707,9
PA14_02070,PA14_02070,3,3.391555027980329e-05,3.3914975160531515e-05,99.99660844497203,3.0,1.3862943611198906,3
PA14_02260,PA14_02260,16,0.00018088293482561754,0.00018086657748004204,99.98191170651744,16.0,2.833213344056216,13
PA14_02270,PA14_02270,180,0.0020575433836413997,0.0020554295403065774,99.79650669832118,182.0,5.209486152841421,159
PA14_02310,PA14_02310,3,3.391555027980329e-05,3.3914975160531515e-05,99.99660844497203,3.0,1.3862943611198906,3
PA14_02410,PA14_02410,167,0.0020236278333615964,0.0020215830566709414,99.81120343677577,179.0,5.19295685089021,142
PA14_02450,PA14_02450,201,0.0023966988864394323,0.0023938313844419547,99.77276581312532,212.0,5.3612921657094255,166
PA14_02470,PA14_02470,90,0.0011192131592335085,0.0011185873071166968,99.8982533491606,99.0,4.605170185988092,81
PA14_02510,PA14_02510,49,0.0006217850884630604,0.0006215918602084255,99.94460460120965,55.0,4.02535169073515,41
PA14_02660,PA14_02660,94,0.0011079079758069075,0.0011072946986934202,99.89373127578996,98.0,4.59511985013459,88
PA14_02770,PA14_02770,344,0.004149002317562603,0.0041404189408896135,99.61110169012493,367.0,5.908082938168931,266
PA14_02810,PA14_02810,232,0.0027923803063704708,0.002788488855074185,99.73771974450285,247.0,5.5134287461649825,204
PA14_03070,PA14_03070,20,0.0003956814199310384,0.00039560315868166667,99.9773896331468,35.0,3.58351893845611,18
PA14_03090,PA14_03090,15,0.00016957775139901646,0.00016956337471741895,99.9830422248601,15.0,2.772588722239781,13
PA14_03130,PA14_03130,70,0.0009383302244078911,0.0009378902677977526,99.9208637160138,83.0,4.430816798843313,62
PA14_03163,PA14_03163,384,0.004680345938612854,0.004669427175364944,99.56588095641851,414.0,6.028278520230698,353
PA14_03166,PA14_03166,369,0.004262054151828613,0.004252997323707468,99.58283873155843,377.0,5.934894195619588,332
PA14_03170,PA14_03170,36,0.00042959697021084165,0.0004295047198518054,99.95930133966424,38.0,3.6635616461296463,34
PA14_03220,PA14_03220,12,0.00014696738454581426,0.00014695658589777388,99.98643377988809,13.0,2.639057329615259,8
PA14_03250,PA14_03250,93,0.0010626872421005031,0.00106212298972706,99.89486179413261,94.0,4.553876891600541,80
PA14_03270,PA14_03270,309,0.0037307105307783617,0.0037237686902209036,99.65066983211803,330.0,5.802118375377063,255
PA14_03310,PA14_03310,4,4.5220733706404386e-05,4.521971127984905e-05,99.99547792662936,4.0,1.6094379124341003,3
PA14_03320,PA14_03320,117,0.0013792323780453337,0.001378282110728291,99.86772935390876,122.0,4.812184355372417,99
PA14_03350,PA14_03350,75,0.0008818043072748856,0.0008814157462631264,99.9152111243005,78.0,4.3694478524670215,66
PA14_03360,PA14_03360,157,0.0018088293482561755,0.0018071953865258542,99.82250862020237,160.0,5.081404364984463,139
PA14_03380,PA14_03380,101,0.0012774857272059238,0.0012766704365885333,99.88581764739133,113.0,4.736198448394496,88
PA14_03420,PA14_03420,756,0.009236334859533096,0.009193940762822947,99.14532813294896,817.0,6.706862336602747,640
